id,estado,recorrido,sec,arq,fuente,resultado
wynterblackmetamorphosis,confirmado,c8,c4,,decision-academica-wynterblackmetamorphosis-p2-etapa-2-3f.md,ordinaria
mgsmithplural,sin_evaluar,,,,,sin evaluar
rtsmithmatrifocal,pendiente,,,,,pendiente
clarkemymother,sin_evaluar,,,,,sin evaluar
barrowfamily,sin_evaluar,,,,,sin evaluar
mintzpricebirth,pendiente,,,,,pendiente
trouillottransformaciones,sin_evaluar,,,,,sin evaluar
morenofraginals,confirmado,c2,c4,,a01-generado.json,ordinaria
meeks_postcolonial,sin_evaluar,,,,,sin evaluar
oostindiedecolonising,sin_evaluar,,,,,sin evaluar
kloosterrealm,pendiente,,,,,pendiente
hoeftesuriname,pendiente,,,,,pendiente
hoeftetrajectories,sin_evaluar,,,,,sin evaluar
bestlevitt,confirmado,c4,c7,,a01-generado.json,ordinaria
duboisturits,pendiente,,,,,pendiente
austinfearblack,pendiente,,,,,pendiente
puriradical,pendiente,,,,,pendiente
grenaderevolution,sin_evaluar,,,,,sin evaluar
smithredblack,sin_evaluar,,,,,sin evaluar
becklessavingsouls,pendiente,,,,,pendiente
kalefragments,pendiente,,,,,pendiente
shepherdmaharani,confirmado,c5,c4|c10,,a01-generado.json,ordinaria
looklaichinese,pendiente,,,,,pendiente
putnamradical,confirmado,c5,c7,,a02-generado.json,ordinaria
harpellecostarica,confirmado,c5,c4|c7,,a02-generado.json,ordinaria
bourgoisethnicity,confirmado,c4,,,piloto-generado.json,ordinaria
legrandfrontier,sin_evaluar,,,,,sin evaluar
keeganhofman,confirmado,c1,c5,,piloto-generado.json,ordinaria
atkinsonearliest,confirmado,c1,,,decision-academica-atkinsonearliest-p2-etapa-2-3f.md,ordinaria
